model,hamming,jaccard,f1_macro,f1_micro,f1_samples,subset_acc
LR + AdaThr,0.099,0.4422,0.4191,0.5715,0.569,0.0856
LR + Co+AdaThr,0.1034,0.4394,0.4117,0.5661,0.5653,0.0924
MLP + AdaThr,0.1056,0.4159,0.3658,0.5457,0.5403,0.076
MLP + Co+AdaThr,0.1153,0.4057,0.3575,0.5292,0.5293,0.0767
MLP (TFIDF),0.0857,0.4027,0.2741,0.5247,0.5124,0.1047
BiLSTM + AdaThr,0.1241,0.38,0.2836,0.5035,0.505,0.0623
TextCNN + AdaThr,0.1312,0.3685,0.2916,0.4893,0.4927,0.0534
BiLSTM + Co+AdaThr,0.1446,0.3635,0.2758,0.4802,0.491,0.0575
TextCNN + Co+AdaThr,0.1414,0.3625,0.2768,0.4788,0.4866,0.0561
LR (baseline),0.0816,0.3758,0.2616,0.5018,0.4751,0.1081
MLP + Co-occur,0.2155,0.3081,0.302,0.4482,0.4514,0.0021
LR + Co-occur,0.2296,0.2917,0.3403,0.4364,0.4362,0.0
BiLSTM,0.0903,0.3231,0.1428,0.4346,0.424,0.0657
TextCNN,0.0928,0.3167,0.1434,0.4198,0.4123,0.0767
BiLSTM + Co-occur,0.2506,0.2681,0.2388,0.4049,0.4063,0.0
TextCNN + Co-occur,0.2423,0.266,0.2416,0.4048,0.4033,0.0
