model,hamming,jaccard,f1_macro,f1_samples
LR +AdaThr-coarse,0.099,0.4422,0.4191,0.569
LR +AdaThr-fine,0.1,0.4414,0.4294,0.5668
MLP-Reg +AdaThr-fine,0.0995,0.4426,0.4132,0.5656
MLP-Reg +AdaThr-coarse,0.0991,0.4424,0.395,0.5646
MLP-原始 +AdaThr-coarse,0.1056,0.4159,0.3658,0.5403
MLP-Temp +AdaThr-fine,0.0961,0.4199,0.328,0.5394
MLP-Temp +AdaThr-coarse,0.0908,0.4172,0.3061,0.534
MLP-原始 +AdaThr-fine,0.1141,0.4062,0.3763,0.5334
MLP-Temp (thr=0.5),0.0857,0.4027,0.2741,0.5124
MLP-原始 (thr=0.5),0.0857,0.4027,0.2741,0.5124
LR (thr=0.5),0.0815,0.3993,0.2718,0.5066
MLP-Reg (thr=0.5),0.0821,0.3955,0.2509,0.5044
